[STARTING] Super Peer is starting
[LISTENING] Super Peer(UDP) is listening on 127.0.0.1:40009
[LISTENING] Super Peer(TCP) is listening on 127.0.0.1:30009
[NEW CONNECTION] ('127.0.0.1', 50018) connected.
[REGISTER] 127.0.0.1:50018 registerd
[BROADRECV] QUERY - ID: 50002-1616968250.722434, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.722434, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.722434, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.722434, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.722434, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.722434, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.722434, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.722434, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.722434, TTL: 0
[BROADRECV] QUERY - ID: 50002-1616968250.734714, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.734714, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.734714, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.734714, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.734714, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.734714, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.734714, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.734714, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.734714, TTL: 0
[BROADRECV] QUERY - ID: 50002-1616968250.748306, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.748306, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.748306, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.748306, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.748306, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.748306, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.748306, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.748306, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.748306, TTL: 0
[BROADRECV] QUERY - ID: 50002-1616968250.764791, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.764791, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.764791, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.764791, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.764791, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.764791, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.764791, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.764791, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.764791, TTL: 0
[BROADRECV] QUERY - ID: 50002-1616968250.776384, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.776384, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.776384, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.776384, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.776384, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.776384, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.776384, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.776384, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.776384, TTL: 0
[BROADRECV] QUERY - ID: 50002-1616968250.7881541, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616968250.7881541, TTL: 0
