[STARTING] Super Peer is starting
[LISTENING] Super Peer(UDP) is listening on 127.0.0.1:40008
[LISTENING] Super Peer(TCP) is listening on 127.0.0.1:30008
[NEW CONNECTION] ('127.0.0.1', 50016) connected.
[REGISTER] 127.0.0.1:50016 registerd
[BROADRECV] QUERY - ID: 50002-1616972577.009294, TTL: 2
[BROADRECV] QUERY - ID: 50002-1616972577.009294, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.009294, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.009294, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.009294, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.009294, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.009294, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.021454, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.021454, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.021454, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.021454, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.021454, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.021454, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.021454, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.0332, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.0332, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.0332, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.0332, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.0332, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.0332, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.0332, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.045535, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.045535, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.045535, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.045535, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.045535, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.045535, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.045535, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.056454, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.056454, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.056454, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.056454, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.056454, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.056454, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.056454, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.069364, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.069364, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.069364, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.069364, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.069364, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.069364, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.069364, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.08146, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.08146, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.08146, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.08146, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.08146, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.08146, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.08146, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.092375, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.092375, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.092375, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.092375, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.092375, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.092375, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.092375, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.103976, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.103976, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.103976, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.103976, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.103976, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.103976, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.103976, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.1148212, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.1148212, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.1148212, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.1148212, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.1148212, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.1148212, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.1148212, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.127935, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.127935, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.127935, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.127935, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.127935, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.127935, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.127935, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.138866, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.138866, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.138866, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.138866, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.138866, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.138866, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.138866, TTL: 3
[BROADRECV] QUERY - ID: 50002-1616972577.150081, TTL: 2
[BROADRECV] QUERYHIT - ID: 50002-1616972577.150081, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.150081, TTL: 0
[BROADRECV] QUERYHIT - ID: 50002-1616972577.150081, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.150081, TTL: 4
[BROADRECV] QUERYHIT - ID: 50002-1616972577.150081, TTL: 3
[BROADRECV] QUERYHIT - ID: 50002-1616972577.150081, TTL: 4
[BROADRECV] QUERY - ID: 50002-1616972577.163197, TTL: 2
